,model_name,accuracy,accuracy_balanced,f1_score,f2_score,roc_auc,avg_precision,precision,recall
0,AutoXGB,0.992,0.497,0.0,0.497,0.47,0.002,0.499,0.497
1,AutoXGB,0.999,0.903,0.823,0.906,0.953,0.828,0.92,0.903
2,AutoXGB,1.0,0.934,0.872,0.934,0.963,0.88,0.938,0.934
3,AutoXGB,0.999,0.923,0.826,0.919,0.967,0.85,0.903,0.923
4,AutoXGB,1.0,0.923,0.86,0.926,0.972,0.856,0.937,0.923
5,AutoXGB,0.999,0.872,0.811,0.885,0.962,0.777,0.945,0.872
6,AutoXGB,0.983,0.936,0.155,0.647,0.965,0.746,0.542,0.936
7,AutoXGB,0.999,0.908,0.842,0.913,0.983,0.829,0.935,0.908
8,AutoXGB,1.0,0.939,0.873,0.938,0.98,0.891,0.934,0.939
9,AutoXGB,0.997,0.504,0.01,0.504,0.468,0.002,0.505,0.504
10,AutoXGB,0.983,0.926,0.153,0.645,0.969,0.746,0.542,0.926
11,AutoXGB,0.998,0.928,0.615,0.87,0.992,0.786,0.74,0.928
12,AutoXGB,1.0,0.918,0.854,0.922,0.984,0.855,0.936,0.918
13,AutoXGB,0.999,0.898,0.83,0.904,0.975,0.817,0.933,0.898
14,AutoXGB,0.994,0.503,0.006,0.502,0.507,0.002,0.501,0.503
15,AutoXGB,1.0,0.918,0.854,0.922,0.968,0.84,0.936,0.918
16,AutoXGB,1.0,0.928,0.857,0.928,0.992,0.883,0.928,0.928
17,AutoXGB,0.999,0.923,0.81,0.916,0.983,0.833,0.888,0.923
18,AutoXGB,0.999,0.933,0.825,0.925,0.977,0.875,0.893,0.933
19,AutoXGB,0.999,0.903,0.814,0.905,0.981,0.841,0.911,0.903
20,AutoXGB,0.998,0.938,0.652,0.885,0.988,0.863,0.759,0.938
21,AutoXGB,0.999,0.918,0.841,0.919,0.976,0.846,0.923,0.918
22,AutoXGB,0.996,0.937,0.408,0.799,0.977,0.818,0.633,0.937
23,AutoXGB,0.981,0.96,0.146,0.641,0.976,0.788,0.54,0.96
24,AutoXGB,0.999,0.923,0.834,0.921,0.984,0.855,0.911,0.923
25,AutoXGB,1.0,0.934,0.881,0.936,0.977,0.873,0.947,0.934
26,AutoXGB,0.999,0.913,0.831,0.914,0.975,0.809,0.917,0.913
27,AutoXGB,1.0,0.923,0.874,0.929,0.977,0.872,0.951,0.923
28,AutoXGB,0.999,0.918,0.85,0.921,0.99,0.849,0.931,0.918
29,AutoXGB,0.999,0.923,0.847,0.923,0.977,0.859,0.923,0.923
30,AutoXGB,0.999,0.938,0.782,0.918,0.979,0.88,0.852,0.938
31,AutoXGB,0.999,0.923,0.794,0.912,0.989,0.88,0.874,0.923
32,AutoXGB,0.999,0.913,0.814,0.911,0.979,0.84,0.901,0.913
33,AutoXGB,0.999,0.913,0.844,0.917,0.977,0.856,0.931,0.913
34,AutoXGB,0.98,0.97,0.142,0.637,0.991,0.748,0.538,0.97
