,model_name,Acc,Acc Balanced,F1_score,ROC_AUC,Precision,Recall
0,AutoXGB,0.971,0.94,0.542,0.977,0.526,0.94
1,AutoXGB,0.971,0.934,0.54,0.978,0.525,0.934
2,AutoXGB,0.981,0.96,0.569,0.988,0.54,0.96
3,AutoXGB,0.98,0.914,0.559,0.971,0.535,0.914
4,AutoXGB,0.978,0.948,0.556,0.975,0.533,0.948
5,AutoXGB,0.974,0.931,0.546,0.981,0.528,0.931
6,AutoXGB,0.983,0.951,0.574,0.992,0.543,0.951
7,AutoXGB,0.973,0.941,0.545,0.986,0.528,0.941
8,AutoXGB,0.973,0.94,0.544,0.981,0.527,0.94
9,AutoXGB,0.968,0.954,0.538,0.984,0.524,0.954
10,AutoXGB,0.964,0.926,0.531,0.957,0.521,0.926
11,AutoXGB,0.968,0.953,0.538,0.987,0.524,0.953
12,AutoXGB,0.975,0.931,0.548,0.979,0.529,0.931
13,AutoXGB,0.976,0.953,0.554,0.99,0.532,0.953
14,AutoXGB,0.97,0.949,0.54,0.988,0.525,0.949
15,AutoXGB,0.976,0.947,0.553,0.989,0.532,0.947
16,AutoXGB,0.973,0.946,0.545,0.977,0.527,0.946
17,AutoXGB,0.97,0.96,0.542,0.984,0.526,0.96
18,AutoXGB,0.979,0.949,0.56,0.979,0.535,0.949
19,AutoXGB,0.98,0.934,0.56,0.983,0.535,0.934
20,AutoXGB,0.977,0.958,0.556,0.992,0.533,0.958
21,AutoXGB,0.982,0.915,0.565,0.971,0.538,0.915
22,AutoXGB,0.976,0.932,0.55,0.981,0.53,0.932
23,AutoXGB,0.976,0.942,0.552,0.985,0.531,0.942
24,AutoXGB,0.965,0.942,0.533,0.984,0.522,0.942
25,AutoXGB,0.976,0.947,0.552,0.977,0.531,0.947
26,AutoXGB,0.971,0.929,0.54,0.972,0.525,0.929
27,AutoXGB,0.975,0.942,0.549,0.978,0.53,0.942
28,AutoXGB,0.975,0.947,0.55,0.98,0.53,0.947
29,AutoXGB,0.974,0.941,0.546,0.987,0.528,0.941
30,AutoXGB,0.97,0.939,0.539,0.983,0.525,0.939
31,AutoXGB,0.968,0.933,0.535,0.981,0.523,0.933
32,AutoXGB,0.977,0.922,0.551,0.974,0.53,0.922
33,AutoXGB,0.975,0.921,0.547,0.979,0.529,0.921
34,AutoXGB,0.974,0.946,0.547,0.988,0.528,0.946
35,AutoXGB,0.971,0.945,0.541,0.974,0.526,0.945
36,AutoXGB,0.98,0.919,0.559,0.976,0.535,0.919
37,AutoXGB,0.973,0.951,0.545,0.989,0.528,0.951
38,AutoXGB,0.978,0.943,0.555,0.972,0.533,0.943
39,AutoXGB,0.978,0.948,0.558,0.979,0.534,0.948
40,AutoXGB,0.97,0.965,0.542,0.992,0.526,0.965
41,AutoXGB,0.965,0.937,0.533,0.972,0.522,0.937
42,AutoXGB,0.968,0.933,0.536,0.978,0.523,0.933
43,AutoXGB,0.972,0.95,0.544,0.979,0.527,0.95
44,AutoXGB,0.971,0.945,0.542,0.982,0.526,0.945
45,AutoXGB,0.978,0.913,0.553,0.963,0.531,0.913
46,AutoXGB,0.976,0.947,0.552,0.977,0.531,0.947
47,AutoXGB,0.972,0.945,0.543,0.97,0.527,0.945
48,AutoXGB,0.977,0.922,0.551,0.968,0.53,0.922
49,AutoXGB,0.964,0.946,0.531,0.981,0.521,0.946
50,AutoXGB,0.977,0.948,0.555,0.991,0.533,0.948
51,AutoXGB,0.964,0.946,0.531,0.984,0.521,0.946
52,AutoXGB,0.965,0.937,0.532,0.974,0.521,0.937
53,AutoXGB,0.967,0.938,0.535,0.981,0.523,0.938
54,AutoXGB,0.962,0.94,0.529,0.978,0.52,0.94
55,AutoXGB,0.975,0.931,0.548,0.975,0.529,0.931
56,AutoXGB,0.967,0.917,0.533,0.982,0.522,0.917
57,AutoXGB,0.964,0.936,0.531,0.976,0.521,0.936
58,AutoXGB,0.968,0.943,0.537,0.981,0.524,0.943
59,AutoXGB,0.965,0.922,0.531,0.967,0.521,0.922
60,AutoXGB,0.963,0.951,0.531,0.991,0.521,0.951
61,AutoXGB,0.983,0.931,0.573,0.977,0.542,0.931
62,AutoXGB,0.97,0.939,0.54,0.986,0.525,0.939
63,AutoXGB,0.96,0.934,0.526,0.972,0.519,0.934
64,AutoXGB,0.98,0.929,0.561,0.977,0.536,0.929
65,AutoXGB,0.972,0.95,0.544,0.987,0.527,0.95
66,AutoXGB,0.964,0.921,0.53,0.98,0.52,0.921
67,AutoXGB,0.973,0.946,0.546,0.981,0.528,0.946
68,AutoXGB,0.971,0.934,0.54,0.978,0.525,0.934
69,AutoXGB,0.967,0.942,0.535,0.986,0.523,0.942
70,AutoXGB,0.98,0.909,0.558,0.977,0.534,0.909
71,AutoXGB,0.973,0.946,0.545,0.979,0.527,0.946
72,AutoXGB,0.973,0.956,0.546,0.99,0.528,0.956
73,AutoXGB,0.971,0.909,0.539,0.97,0.524,0.909
